ID,LEVELID,AUDITID,PAGE,IROW,COLN,LENGTH,LITERAL,SAMPLE,LEFTTRIM,INVALID_ACTION,LEFT_OFFSET,DATEFORMAT
10,1,5,0,0,0,0,Financial,,n,6,,
10,2,5,0,0,0,0,Statements,,n,6,,
10,3,5,1,8,66,8, ,,y,6,mdy,
10,4,5,-1,12,10,35, ,,y,1,a%,
10,5,5,-1,22,16,8, ,,n,6,,
10,6,5,-1,8,66,8, ,,n,6,,
34,1,5,0,0,0,0,Bank Reports,,n,6,,
34,2,5,0,0,0,0,Unposted Items,,n,6,,
34,3,5,1,3,125,8, ,,y,6,mdy,
34,4,5,-1,3,49,35, ,y,n,6,,
34,5,5,-1,2,9,15, ,,n,6,,
34,6,5,-1,3,9,8, ,,n,6,,
53,1,5,0,0,0,0,Bank Reports,,n,6,,
53,2,5,0,0,0,0,Item Entry Block Listing,,n,6,,
53,3,5,1,3,125,8, ,,y,6,mdy,
53,4,5,-1,3,53,28, ,y,n,6,,
53,5,5,-1,2,9,15, ,,n,6,,
53,6,5,-1,7,29,8, ,,n,6,,
57,1,5,0,0,0,0,Billing,,n,6,,
57,2,5,0,0,0,0,Aged Outpatient Exception,,n,6,,
57,3,5,1,2,132,8, ,,y,6,mdy,
57,4,5,-1,7,1,29, ,,n,6,,
67,1,5,0,0,0,0,Patient Information,,n,6,,
67,2,5,0,0,0,0,Charge Packet,,n,6,,
67,3,5,1,2,113,8, ,,y,6,mdy,
71,1,5,0,0,0,0,Audit Reports,,n,6,,
71,2,5,0,0,0,0,Daily Transaction Audit,,n,6,,
71,3,5,1,2,113,6, ,,y,6,mdy,
74,1,5,0,0,0,0,Billing,,n,6,,
74,2,5,0,0,0,0,Detail,,n,6,,
74,3,5,1,8,58,8, ,,y,6,mdy,
74,4,5,-1,11,8,30, ,,y,1,a%,
74,5,5,-1,13,55,7, ,,y,1,nnnnnnn,
87,1,5,0,0,0,0,Billing,,n,6,,
87,2,5,0,0,0,0,UB92,,n,6,,
87,3,0,1,65,75,8, ,,y,6,mdy,
87,4,0,-1,8,1,30, ,,,1,,
87,5,0,-1,4,65,7, ,,,1,,
93,1,5,0,0,0,0,Universal Distribution,,n,6,,
93,2,5,0,0,0,0,Invoice,,n,6,,
93,3,5,1,15,96,8, ,,y,6,mdy,
93,4,5,-1,2,49,6, ,,n,6,,
93,5,5,-1,9,53,6, ,,n,6,,
93,6,5,-1,9,11,30, ,,n,6,,
93,7,5,-1,9,73,30, ,,n,6,,
96,1,5,0,0,0,0,Universal Electric,,n,6,,
96,2,5,0,0,0,0,Invoice,,n,6,,
96,3,5,1,7,43,8, ,,y,6,mdy,
96,4,5,-1,20,77,6, ,,n,6,,
96,5,5,-1,7,21,15, ,,n,6,,
96,6,5,-1,11,12,30, ,,n,6,,
96,7,5,-1,11,54,30, ,,n,6,,
99,1,5,0,0,0,0,Universal Electric,,n,6,,
99,2,5,0,0,0,0,Shipper,,n,6,,
99,3,5,1,5,95,8, ,,y,6,mdy,
99,4,5,-1,7,56,7, ,,n,6,,
99,5,5,-1,9,57,14, ,,n,6,,
99,6,5,-1,18,3,30, ,,n,6,,
99,7,5,-1,10,3,30, ,,n,6,,
103,1,5,0,0,0,0,Phone World,,n,6,,
103,2,5,0,2,74,8, ,,y,1,nnnnnnnn,
103,3,5,0,1,75,12, ,,y,1,mdy,
103,4,5,-1,0,0,0, ,,n,6,,
103,5,5,-1,0,0,0, ,,n,6,,
103,6,5,-1,16,55,35, ,,n,6,,
108,1,4,0,0,0,0,Metacode,,n,6,,
108,2,4,0,31,72,37, ,,y,1,a%,34
108,3,4,0,31,72,8, ,,y,1,yyyymmdd,11
108,4,4,-1,31,72,46, ,,y,1,a%,75
108,5,4,-1,31,72,9, ,,y,1,xxxxxxxxx,1
108,6,4,-1,31,72,8, ,,y,1,yyyymmdd,20
109,1,0,0,0,0,0,Invoices,,,0,,
109,2,0,-1,1,1,6,,,,0,,
109,3,0,0,1,61,8,,,y,0,mdy,
109,4,0,0,1,72,7,,,,0,,
115,1,0,0,0,0,0,PDF Invoices,,,0,,
115,2,0,1,50,1,6,,,,0,,
115,3,0,1,50,61,8,,,y,0,mdy,
115,4,0,1,50,72,7,,,,0,,
109,2,,,,,,
